ID,Title,Type,To,From
2,ship rocket,Plane,USA,Japan
10,ship rocket,Plane,USA,Japan
11,ship rocket,Plane,USA,Japan
14,Ocean Water,Plane,China,Japan
15,Ocean Water,Plane,China,Japan
83,Ocean Water,Plane,China,Japan
92,Ocean Water,Plane,China,Japan
26,blue line,Plane,Japan,India
28,blue line,Plane,Japan,India
41,blue line,Plane,Japan,India
97,blue line,Plane,Japan,India
93,Pree ship,Plane,Belgium,Bhutan
96,devid tranport,Plane,Brazil,Australia
98,Shiplap,Plane,France,Canada
99,Shiplap,Plane,France,Canada
100,Shiplap,Plane,France,Canada
101,Shiplap,Plane,France,Canada
102,Shiplap,Plane,France,Canada